Statistical profiling result from conCLog.log, (17495 ticks, 18 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
  14182   81.1%          /home/jenny/.nvm/versions/node/v17.1.0/bin/node
    216    1.2%          /usr/lib/x86_64-linux-gnu/libc-2.31.so
    209    1.2%          [vdso]
     11    0.1%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.28

 [JavaScript]:
   ticks  total  nonlib   name
     76    0.4%    2.6%  LazyCompile: *wrap /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:101:22
     52    0.3%    1.8%  LazyCompile: *parse /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:269:30
     40    0.2%    1.4%  LazyCompile: *next /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:478:32
     34    0.2%    1.2%  LazyCompile: *SourceNode_walk /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/source-map/lib/source-node.js:221:53
     20    0.1%    0.7%  LazyCompile: *serializeInto /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/bson/lib/parser/serializer.js:550:23
     17    0.1%    0.6%  LazyCompile: *resolve node:path:1091:10
     17    0.1%    0.6%  LazyCompile: *anonymous /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:12:42
     16    0.1%    0.6%  LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
     16    0.1%    0.6%  LazyCompile: *compile /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
     15    0.1%    0.5%  LazyCompile: *next /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express/lib/router/index.js:176:16
     14    0.1%    0.5%  LazyCompile: *resolvePath /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:492:36
     14    0.1%    0.5%  LazyCompile: *deserializeObject /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/bson/lib/parser/deserializer.js:54:27
     12    0.1%    0.4%  LazyCompile: *nextTick node:internal/process/task_queues:104:18
     12    0.1%    0.4%  LazyCompile: *emit node:events:340:44
     11    0.1%    0.4%  LazyCompile: *extend /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/utils.js:28:16
     11    0.1%    0.4%  LazyCompile: *<anonymous> /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/source-map/lib/source-node.js:174:29
     10    0.1%    0.3%  LazyCompile: *writeOrBuffer node:internal/streams/writable:366:23
     10    0.1%    0.3%  LazyCompile: *normalizeString node:path:66:25
      9    0.1%    0.3%  RegExp: ^(?:[^\x00]*?(?=(\{\{)))
      8    0.0%    0.3%  LazyCompile: *template /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/runtime.js:52:18
      8    0.0%    0.3%  LazyCompile: *renderView /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express-handlebars/lib/express-handlebars.js:183:19
      8    0.0%    0.3%  LazyCompile: *render /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express-handlebars/lib/express-handlebars.js:150:15
      8    0.0%    0.3%  LazyCompile: *onwrite node:internal/streams/writable:426:17
      8    0.0%    0.3%  LazyCompile: *getEncodingOps node:buffer:678:24
      7    0.0%    0.2%  RegExp: (?:\r\n?|\n).*
      7    0.0%    0.2%  LazyCompile: *replaceStack /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:892:38
      7    0.0%    0.2%  LazyCompile: *SourceNode_add /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/source-map/lib/source-node.js:172:51
      6    0.0%    0.2%  RegExp: [^\t\x20-\x7e\x80-\xff]
      6    0.0%    0.2%  LazyCompile: *relative node:path:1190:11
      5    0.0%    0.2%  RegExp: ^(?:([^\s!"#%-,\.\/;->@\[-\^`\{-~]+(?=([=~}\s\/.)|]))))
      5    0.0%    0.2%  LazyCompile: *realpathSync node:fs:2408:22
      5    0.0%    0.2%  LazyCompile: *readableAddChunk /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/readable-stream/lib/_stream_readable.js:249:26
      5    0.0%    0.2%  LazyCompile: *accept /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:101:26
      5    0.0%    0.2%  LazyCompile: *SubExpression /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:236:40
      5    0.0%    0.2%  LazyCompile: *Module._nodeModulePaths node:internal/modules/cjs/loader:629:37
      4    0.0%    0.1%  LazyCompile: *resolveOptions /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/utils.js:824:24
      4    0.0%    0.1%  LazyCompile: *readableAddChunk node:internal/streams/readable:242:26
      4    0.0%    0.1%  LazyCompile: *processWaitQueue /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/cmap/connection_pool.js:417:26
      4    0.0%    0.1%  LazyCompile: *opcode /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:347:26
      4    0.0%    0.1%  LazyCompile: *ondata node:internal/streams/readable:775:18
      4    0.0%    0.1%  LazyCompile: *getPartials /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express-handlebars/lib/express-handlebars.js:52:20
      4    0.0%    0.1%  LazyCompile: *extname node:path:1385:10
      4    0.0%    0.1%  LazyCompile: *Writable.write node:internal/streams/writable:334:36
      4    0.0%    0.1%  LazyCompile: *PathExpression /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:289:42
      4    0.0%    0.1%  Function: ^readableAddChunk /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/readable-stream/lib/_stream_readable.js:249:26
      4    0.0%    0.1%  Function: ^next /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/send/index.js:732:17
      4    0.0%    0.1%  Function: ^messageHandler /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/cmap/connection.js:421:35
      4    0.0%    0.1%  Function: ^<anonymous> /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:85:24
      3    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\^\s*(~)?\}\})
      3    0.0%    0.1%  RegExp: ^(?:\{\{(~)?&)
      3    0.0%    0.1%  RegExp: ^(?:\{\{(~)?#\*?)
      3    0.0%    0.1%  RegExp: ^(?:\.(?=([=~}\s\/.)|])))
      3    0.0%    0.1%  RegExp: (^|\r?\n)\s*?$
      3    0.0%    0.1%  RegExp: (?:^|,)\s*?no-transform\s*?(?:,|$)
      3    0.0%    0.1%  LazyCompile: *write node:buffer:1050:40
      3    0.0%    0.1%  LazyCompile: *validateString node:internal/validators:118:24
      3    0.0%    0.1%  LazyCompile: *serializeBinary /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/bson/lib/parser/serializer.js:459:25
      3    0.0%    0.1%  LazyCompile: *resolvePossibleLambda /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:527:56
