Statistical profiling result from sinCLog.log, (8512 ticks, 16 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
   6390   75.1%          /home/jenny/.nvm/versions/node/v17.1.0/bin/node
    128    1.5%          /usr/lib/x86_64-linux-gnu/libc-2.31.so
    105    1.2%          [vdso]
      8    0.1%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.28

 [JavaScript]:
   ticks  total  nonlib   name
     36    0.4%    1.9%  LazyCompile: *parse /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:269:30
     25    0.3%    1.3%  LazyCompile: *wrap /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:101:22
     17    0.2%    0.9%  LazyCompile: *SourceNode_walk /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/source-map/lib/source-node.js:221:53
     16    0.2%    0.9%  LazyCompile: *resolve node:path:1091:10
     15    0.2%    0.8%  LazyCompile: *serializeInto /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/bson/lib/parser/serializer.js:550:23
     14    0.2%    0.7%  LazyCompile: *next /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:478:32
      9    0.1%    0.5%  LazyCompile: *next /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express/lib/router/index.js:176:16
      9    0.1%    0.5%  LazyCompile: *Module._nodeModulePaths node:internal/modules/cjs/loader:629:37
      7    0.1%    0.4%  LazyCompile: *render /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express-handlebars/lib/express-handlebars.js:150:15
      7    0.1%    0.4%  LazyCompile: *normalizeString node:path:66:25
      6    0.1%    0.3%  LazyCompile: *emit node:events:340:44
      6    0.1%    0.3%  LazyCompile: *compile /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      6    0.1%    0.3%  LazyCompile: *<anonymous> /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/source-map/lib/source-node.js:174:29
      5    0.1%    0.3%  LazyCompile: *readPackage node:internal/modules/cjs/loader:290:21
      5    0.1%    0.3%  LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
      5    0.1%    0.3%  LazyCompile: *nextTick node:internal/process/task_queues:104:18
      4    0.0%    0.2%  LazyCompile: *writeOrBuffer node:internal/streams/writable:366:23
      4    0.0%    0.2%  LazyCompile: *resolvePath /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:492:36
      4    0.0%    0.2%  LazyCompile: *renderView /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/express-handlebars/lib/express-handlebars.js:183:19
      4    0.0%    0.2%  LazyCompile: *realpathSync node:fs:2408:22
      4    0.0%    0.2%  LazyCompile: *quotedString /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:118:38
      4    0.0%    0.2%  LazyCompile: *now /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/utils.js:708:13
      4    0.0%    0.2%  LazyCompile: *generateList /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:143:38
      4    0.0%    0.2%  LazyCompile: *deserializeObject /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/bson/lib/parser/deserializer.js:54:27
      4    0.0%    0.2%  LazyCompile: *anonymous /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:12:42
      4    0.0%    0.2%  LazyCompile: *aliasable /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:1006:32
      4    0.0%    0.2%  LazyCompile: *Readable.read node:internal/streams/readable:402:35
      4    0.0%    0.2%  Function: ^onwrite node:internal/streams/writable:426:17
      3    0.0%    0.2%  RegExp: ^[\^_`a-zA-Z\-0-9!#$%&'*+.|~]+$
      3    0.0%    0.2%  LazyCompile: *replaceStack /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:892:38
      3    0.0%    0.2%  LazyCompile: *processWaitQueue /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/cmap/connection_pool.js:417:26
      3    0.0%    0.2%  LazyCompile: *getEncodingOps node:buffer:678:24
      3    0.0%    0.2%  LazyCompile: *doWrite /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/winston-transport/node_modules/readable-stream/lib/_stream_writable.js:423:17
      3    0.0%    0.2%  Function: ^onStreamRead node:internal/stream_base_commons:171:22
      3    0.0%    0.2%  Function: ^emit node:events:340:44
      3    0.0%    0.2%  Function: ^Glob /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/glob/glob.js:117:15
      2    0.0%    0.1%  RegExp: ^(?:\|)
      2    0.0%    0.1%  RegExp: ^(?:\{\{(~)?#>)
      2    0.0%    0.1%  RegExp: (^|\r?\n)\s*?$
      2    0.0%    0.1%  RegExp: (?:\r\n?|\n).*
      2    0.0%    0.1%  LazyCompile: *serializeBinary /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/bson/lib/parser/serializer.js:459:25
      2    0.0%    0.1%  LazyCompile: *resolveOptions /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/utils.js:824:24
      2    0.0%    0.1%  LazyCompile: *resolveBSONOptions /mnt/c/Users/jenni/Desktop/DESAFIOS PARA ENTREGAR CODER/Desafio16/node_modules/mongodb/lib/bson.js:52:28
